date,time,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1
2021-09-10,00:00:00,40.607754,-74.13205,1,0,Failure to Yield Right-of-Way
2021-09-10,11:17:00,40.708324,-73.84314,1,0,Following Too Closely
2021-09-10,17:08:00,40.79194,-73.95281,1,0,Unspecified
2021-07-08,17:55:00,40.718792,-73.98902,1,0,Driver Inattention/Distraction
2021-09-11,13:35:00,40.86463,-73.892136,0,0,Driver Inattention/Distraction
2021-09-11,00:50:00,40.67856,-73.889015,0,0,Fell Asleep
2021-09-11,03:00:00,40.721474,-73.98383,0,0,Passing Too Closely
2021-09-11,04:41:00,40.79184,-73.93556,0,0,Unspecified
2021-09-11,21:05:00,40.78076,-73.825424,0,0,Passing or Lane Usage Improper
2021-09-11,20:59:00,40.7359,-73.91338,0,0,Driver Inattention/Distraction
2021-09-10,21:03:00,40.710697,-73.984634,1,0,Unspecified
2021-09-10,14:35:00,40.760777,-73.95702,1,0,Following Too Closely
2021-06-26,17:23:00,40.81358,-73.89385,0,0,Unspecified
2021-09-11,23:18:00,40.575302,-73.98453,1,0,Passing or Lane Usage Improper
